Subject,no image-short,context and color-short,no context and color-short,context and no color-short,no context and no color-short,no image-long,context and color-long,no context and color-long,context and no color-long,no context and no color-long
1127,0.25,0.2,0.0,0.2,0.2,0.3,0.6,0.8,0.2,0.2
0911,0.25,0.0,0.2,0.2,0.2,0.25,0.0,0.4,0.2,0.2
1105,0.4,0.2,0.8,0.4,0.2,0.2,0.4,0.8,0.6,0.6
1122,0.2,0.2,0.0,0.2,0.2,0.2,0.4,0.4,0.4,0.6
0426,0.1,0.6,0.2,0.2,0.8,0.1,0.0,0.4,0.4,0.8
0821,0.35,0.4,0.4,0.2,0.6,0.4,0.6,0.4,0.6,0.2
0328,0.2,0.4,0.4,0.0,0.4,0.35,0.4,0.4,0.2,0.2
0622,0.25,0.2,0.4,0.2,0.0,0.35,0.0,0.4,0.2,0.2
0919,0.55,0.4,0.2,0.6,0.2,0.25,0.6,0.0,0.6,0.6
0116,0.35,0.0,0.4,0.0,0.2,0.45,0.4,0.0,0.4,0.2
1217,0.3,0.2,0.4,0.2,0.2,0.3,0.4,0.6,0.2,0.6
0608,0.55,0.2,0.2,0.4,0.2,0.45,0.4,0.6,0.8,0.4
1008,0.15,0.4,0.4,0.6,0.6,0.7,0.4,0.4,0.4,0.0
1119,0.25,0.2,0.4,0.6,0.2,0.2,0.4,0.2,0.8,0.2
0416,0.25,0.2,0.0,0.6,0.2,0.55,0.2,0.8,0.2,0.4
 
