Subject,context and color-short,no context and color-short,context and no color-short,no context and no color-short,context and color-long,no context and color-long,context and no color-long,no context and no color-long
0116,0,2,0,2,2,1,3,1
0328,2,2,0,2,3,2,1,2
0416,2,0,3,1,1,4,1,2
0426,3,1,1,4,1,2,2,4
0608,1,2,3,1,2,3,4,4
0622,2,2,1,0,1,4,1,1
0821,2,2,2,3,3,3,3,1
0911,0,1,1,2,1,2,2,2
0919,2,1,3,1,3,0,3,3
1008,2,2,3,3,2,2,3,1
1105,1,4,2,1,2,5,3,3
1119,1,3,3,3,2,1,4,1
1122,1,1,1,1,2,3,2,3
1127,2,0,1,1,3,4,1,1
1217,4,2,1,1,4,3,2,3
